open_time,open,high,low,close,volume,close_time
1578556800000,7949.57000000,7955.83000000,7852.01000000,7878.56000000,9886.09173100,1578571199999
1578571200000,7878.02000000,7945.00000000,7871.00000000,7907.05000000,8465.58572000,1578585599999
1578585600000,7907.05000000,7957.48000000,7778.00000000,7917.54000000,13370.93087000,1578599999999
1578600000000,7917.55000000,8000.00000000,7750.00000000,7817.76000000,14550.73030500,1578614399999
1578614400000,7817.74000000,7854.06000000,7770.00000000,7818.02000000,4946.41275700,1578628799999
1578628800000,7818.06000000,7819.84000000,7711.76000000,7752.98000000,8595.70002200,1578643199999
1578643200000,7753.05000000,7854.44000000,7672.00000000,7841.69000000,16190.71085200,1578657599999
1578657600000,7841.03000000,8086.85000000,7811.00000000,8066.60000000,19947.25053700,1578671999999
1578672000000,8067.50000000,8140.11000000,7909.98000000,8059.49000000,22918.93772500,1578686399999
1578686400000,8058.05000000,8199.00000000,7981.59000000,8197.02000000,9807.76555500,1578700799999
1578700800000,8198.86000000,8253.26000000,8119.75000000,8158.49000000,10029.60439700,1578715199999
1578715200000,8158.83000000,8179.94000000,8044.65000000,8074.18000000,7452.94165400,1578729599999
1578729600000,8074.17000000,8129.97000000,8010.00000000,8045.95000000,7736.81792500,1578743999999
1578744000000,8045.89000000,8135.00000000,8018.41000000,8099.73000000,7221.14897500,1578758399999
1578758400000,8099.16000000,8221.55000000,8070.00000000,8151.78000000,10064.72494800,1578772799999
1578772800000,8151.77000000,8286.34000000,8003.16000000,8020.01000000,12304.79476800,1578787199999
1578787200000,8020.01000000,8110.92000000,7960.00000000,8091.33000000,7289.35449700,1578801599999
1578801600000,8090.70000000,8153.84000000,8070.98000000,8097.51000000,5085.38147100,1578815999999
1578816000000,8097.51000000,8164.08000000,8080.01000000,8114.08000000,5601.97890100,1578830399999
1578830400000,8114.08000000,8185.00000000,8113.11000000,8152.70000000,6596.31245400,1578844799999
1578844800000,8152.63000000,8197.00000000,8072.00000000,8132.01000000,9412.79672700,1578859199999
1578859200000,8131.40000000,8185.00000000,8091.22000000,8184.98000000,4145.67028600,1578873599999
1578873600000,8184.97000000,8196.00000000,8086.39000000,8105.77000000,5013.85492500,1578887999999
1578888000000,8105.73000000,8126.31000000,8057.59000000,8075.26000000,5383.79604600,1578902399999
1578902400000,8075.26000000,8134.60000000,8065.00000000,8075.01000000,6585.46143300,1578916799999
1578916800000,8076.86000000,8114.48000000,8055.89000000,8084.89000000,5021.38480100,1578931199999
1578931200000,8085.07000000,8129.45000000,8071.12000000,8111.83000000,4153.28493600,1578945599999
1578945600000,8111.83000000,8160.00000000,8101.00000000,8110.34000000,5001.97354200,1578959999999
1578960000000,8110.34000000,8488.11000000,8105.54000000,8461.84000000,24831.75499700,1578974399999
1578974400000,8461.83000000,8573.00000000,8453.35000000,8509.99000000,15416.45456300,1578988799999
1578988800000,8509.85000000,8561.00000000,8470.00000000,8526.87000000,10140.48985400,1579003199999
1579003200000,8526.87000000,8760.00000000,8480.00000000,8675.48000000,27970.13860000,1579017599999
1579017600000,8673.18000000,8850.00000000,8520.00000000,8767.56000000,31177.50731000,1579031999999
